week,pollutant,group1,group2,meandiff,p_value,lower,upper,reject
1,pm10,0_hw_1,1_hw_2,0.5141,0,0.2171,0.8112,TRUE
1,pm10,0_hw_1,2_hw_4,1.3674,0,0.9418,1.7931,TRUE
1,pm10,0_hw_1,hw_4,1.8662,0,1.2516,2.4809,TRUE
1,pm10,0_hw_1,non_canyon,-0.6822,0,-0.8226,-0.5419,TRUE
1,pm10,0_hw_1,on_viaduct,-0.745,0,-0.9685,-0.5214,TRUE
1,pm10,0_hw_1,under_viaduct,-0.8921,0.0406,-1.7631,-0.0211,TRUE
1,pm10,1_hw_2,2_hw_4,0.8533,0,0.3576,1.3489,TRUE
1,pm10,1_hw_2,hw_4,1.3521,0,0.6871,2.0171,TRUE
1,pm10,1_hw_2,non_canyon,-1.1964,0,-1.4865,-0.9063,TRUE
1,pm10,1_hw_2,on_viaduct,-1.2591,0,-1.5974,-0.9209,TRUE
1,pm10,1_hw_2,under_viaduct,-1.4062,0.0001,-2.3135,-0.499,TRUE
1,pm10,2_hw_4,hw_4,0.4988,0.4078,-0.2327,1.2304,FALSE
1,pm10,2_hw_4,non_canyon,-2.0496,0,-2.4705,-1.6288,TRUE
1,pm10,2_hw_4,on_viaduct,-2.1124,0,-2.5678,-1.657,TRUE
1,pm10,2_hw_4,under_viaduct,-2.2595,0,-3.2166,-1.3024,TRUE
1,pm10,hw_4,non_canyon,-2.5485,0,-3.1597,-1.9372,TRUE
1,pm10,hw_4,on_viaduct,-2.6112,0,-3.2468,-1.9757,TRUE
1,pm10,hw_4,under_viaduct,-2.7583,0,-3.8131,-1.7035,TRUE
1,pm10,non_canyon,on_viaduct,-0.0628,0.9778,-0.2769,0.1514,FALSE
1,pm10,non_canyon,under_viaduct,-0.2098,0.9919,-1.0785,0.6588,FALSE
1,pm10,on_viaduct,under_viaduct,-0.1471,0.999,-1.033,0.7388,FALSE
2,pm10,0_hw_1,1_hw_2,0.46,0.0114,0.0627,0.8572,TRUE
2,pm10,0_hw_1,2_hw_4,1.0692,0,0.5,1.6384,TRUE
2,pm10,0_hw_1,hw_4,1.3662,0,0.5443,2.1881,TRUE
2,pm10,0_hw_1,non_canyon,-0.6197,0,-0.8073,-0.432,TRUE
2,pm10,0_hw_1,on_viaduct,-0.6222,0,-0.9212,-0.3233,TRUE
2,pm10,0_hw_1,under_viaduct,-0.2267,0.9975,-1.3914,0.938,FALSE
2,pm10,1_hw_2,2_hw_4,0.6092,0.0956,-0.0535,1.272,FALSE
2,pm10,1_hw_2,hw_4,0.9062,0.0424,0.017,1.7954,TRUE
2,pm10,1_hw_2,non_canyon,-1.0796,0,-1.4675,-0.6917,TRUE
2,pm10,1_hw_2,on_viaduct,-1.0822,0,-1.5345,-0.6299,TRUE
2,pm10,1_hw_2,under_viaduct,-0.6867,0.637,-1.8998,0.5265,FALSE
2,pm10,2_hw_4,hw_4,0.297,0.9734,-0.6812,1.2752,FALSE
2,pm10,2_hw_4,non_canyon,-1.6889,0,-2.2516,-1.1262,TRUE
2,pm10,2_hw_4,on_viaduct,-1.6915,0,-2.3004,-1.0825,TRUE
2,pm10,2_hw_4,under_viaduct,-1.2959,0.0449,-2.5757,-0.0161,TRUE
2,pm10,hw_4,non_canyon,-1.9859,0,-2.8032,-1.1685,TRUE
2,pm10,hw_4,on_viaduct,-1.9884,0,-2.8383,-1.1386,TRUE
2,pm10,hw_4,under_viaduct,-1.5929,0.0152,-3.0034,-0.1824,TRUE
2,pm10,non_canyon,on_viaduct,-0.0026,1,-0.289,0.2838,FALSE
2,pm10,non_canyon,under_viaduct,0.393,0.9547,-0.7686,1.5545,FALSE
2,pm10,on_viaduct,under_viaduct,0.3955,0.9575,-0.7891,1.5802,FALSE
3,pm10,0_hw_1,1_hw_2,0.6308,0,0.2995,0.9622,TRUE
3,pm10,0_hw_1,2_hw_4,1.5084,0,1.0336,1.9832,TRUE
3,pm10,0_hw_1,hw_4,2.0222,0,1.3366,2.7078,TRUE
3,pm10,0_hw_1,non_canyon,-0.7709,0,-0.9274,-0.6143,TRUE
3,pm10,0_hw_1,on_viaduct,-0.7713,0,-1.0207,-0.5219,TRUE
3,pm10,0_hw_1,under_viaduct,-0.9236,0.075,-1.8952,0.0479,FALSE
3,pm10,1_hw_2,2_hw_4,0.8776,0.0001,0.3247,1.4304,TRUE
3,pm10,1_hw_2,hw_4,1.3914,0,0.6496,2.1331,TRUE
3,pm10,1_hw_2,non_canyon,-1.4017,0,-1.7253,-1.0782,TRUE
3,pm10,1_hw_2,on_viaduct,-1.4021,0,-1.7795,-1.0248,TRUE
3,pm10,1_hw_2,under_viaduct,-1.5545,0.0001,-2.5665,-0.5425,TRUE
3,pm10,2_hw_4,hw_4,0.5138,0.5095,-0.3022,1.3298,FALSE
3,pm10,2_hw_4,non_canyon,-2.2793,0,-2.7487,-1.8099,TRUE
3,pm10,2_hw_4,on_viaduct,-2.2797,0,-2.7877,-1.7718,TRUE
3,pm10,2_hw_4,under_viaduct,-2.4321,0,-3.4997,-1.3645,TRUE
3,pm10,hw_4,non_canyon,-2.7931,0,-3.4749,-2.1113,TRUE
3,pm10,hw_4,on_viaduct,-2.7935,0,-3.5024,-2.0846,TRUE
3,pm10,hw_4,under_viaduct,-2.9459,0,-4.1224,-1.7693,TRUE
3,pm10,non_canyon,on_viaduct,-0.0004,1,-0.2393,0.2385,FALSE
3,pm10,non_canyon,under_viaduct,-0.1528,0.9992,-1.1217,0.8162,FALSE
3,pm10,on_viaduct,under_viaduct,-0.1524,0.9993,-1.1405,0.8358,FALSE
4,pm10,0_hw_1,1_hw_2,0.4563,0.009,0.0701,0.8425,TRUE
4,pm10,0_hw_1,2_hw_4,1.0658,0,0.5123,1.6192,TRUE
4,pm10,0_hw_1,hw_4,1.4183,0,0.6192,2.2174,TRUE
4,pm10,0_hw_1,non_canyon,-0.5978,0,-0.7803,-0.4153,TRUE
4,pm10,0_hw_1,on_viaduct,-0.3636,0.0042,-0.6543,-0.073,TRUE
4,pm10,0_hw_1,under_viaduct,-0.434,0.919,-1.5665,0.6985,FALSE
4,pm10,1_hw_2,2_hw_4,0.6095,0.0779,-0.035,1.2539,FALSE
4,pm10,1_hw_2,hw_4,0.962,0.0179,0.0974,1.8266,TRUE
4,pm10,1_hw_2,non_canyon,-1.0541,0,-1.4312,-0.6769,TRUE
4,pm10,1_hw_2,on_viaduct,-0.8199,0,-1.2598,-0.3801,TRUE
4,pm10,1_hw_2,under_viaduct,-0.8903,0.2817,-2.0699,0.2893,FALSE
4,pm10,2_hw_4,hw_4,0.3525,0.9304,-0.5986,1.3037,FALSE
4,pm10,2_hw_4,non_canyon,-1.6635,0,-2.2107,-1.1164,TRUE
4,pm10,2_hw_4,on_viaduct,-1.4294,0,-2.0215,-0.8373,TRUE
4,pm10,2_hw_4,under_viaduct,-1.4998,0.007,-2.7442,-0.2554,TRUE
4,pm10,hw_4,non_canyon,-2.0161,0,-2.8108,-1.2213,TRUE
4,pm10,hw_4,on_viaduct,-1.7819,0,-2.6083,-0.9556,TRUE
4,pm10,hw_4,under_viaduct,-1.8523,0.0013,-3.2237,-0.4809,TRUE
4,pm10,non_canyon,on_viaduct,0.2341,0.167,-0.0444,0.5126,FALSE
4,pm10,non_canyon,under_viaduct,0.1638,0.9995,-0.9657,1.2932,FALSE
4,pm10,on_viaduct,under_viaduct,-0.0704,1,-1.2222,1.0815,FALSE
5,pm10,0_hw_1,1_hw_2,0.3585,0.071,-0.0159,0.733,FALSE
5,pm10,0_hw_1,2_hw_4,1.2075,0,0.6709,1.7441,TRUE
5,pm10,0_hw_1,hw_4,1.5982,0,0.8234,2.373,TRUE
5,pm10,0_hw_1,non_canyon,-0.2616,0.0003,-0.4386,-0.0847,TRUE
5,pm10,0_hw_1,on_viaduct,-0.5538,0,-0.8357,-0.272,TRUE
5,pm10,0_hw_1,under_viaduct,0.6911,0.5099,-0.4068,1.7891,FALSE
5,pm10,1_hw_2,2_hw_4,0.849,0.0012,0.2242,1.4737,TRUE
5,pm10,1_hw_2,hw_4,1.2397,0.0003,0.4014,2.0779,TRUE
5,pm10,1_hw_2,non_canyon,-0.6202,0,-0.9859,-0.2545,TRUE
5,pm10,1_hw_2,on_viaduct,-0.9124,0,-1.3388,-0.486,TRUE
5,pm10,1_hw_2,under_viaduct,0.3326,0.9786,-0.8111,1.4763,FALSE
5,pm10,2_hw_4,hw_4,0.3907,0.8747,-0.5315,1.3129,FALSE
5,pm10,2_hw_4,non_canyon,-1.4691,0,-1.9996,-0.9387,TRUE
5,pm10,2_hw_4,on_viaduct,-1.7613,0,-2.3354,-1.1873,TRUE
5,pm10,2_hw_4,under_viaduct,-0.5164,0.8693,-1.7229,0.6901,FALSE
5,pm10,hw_4,non_canyon,-1.8598,0,-2.6304,-1.0893,TRUE
5,pm10,hw_4,on_viaduct,-2.152,0,-2.9532,-1.3509,TRUE
5,pm10,hw_4,under_viaduct,-0.9071,0.4073,-2.2367,0.4226,FALSE
5,pm10,non_canyon,on_viaduct,-0.2922,0.024,-0.5622,-0.0222,TRUE
5,pm10,non_canyon,under_viaduct,0.9528,0.1367,-0.1422,2.0478,FALSE
5,pm10,on_viaduct,under_viaduct,1.245,0.0176,0.1282,2.3617,TRUE
6,pm10,0_hw_1,1_hw_2,-0.1029,0.9826,-0.4715,0.2657,FALSE
6,pm10,0_hw_1,2_hw_4,0.2606,0.7715,-0.2675,0.7888,FALSE
6,pm10,0_hw_1,hw_4,0.6173,0.2041,-0.1453,1.3799,FALSE
6,pm10,0_hw_1,non_canyon,0.4136,0,0.2395,0.5878,TRUE
6,pm10,0_hw_1,on_viaduct,0.1497,0.6879,-0.1277,0.4271,FALSE
6,pm10,0_hw_1,under_viaduct,0.7641,0.3617,-0.3166,1.8448,FALSE
6,pm10,1_hw_2,2_hw_4,0.3635,0.5869,-0.2514,0.9785,FALSE
6,pm10,1_hw_2,hw_4,0.7202,0.1341,-0.1049,1.5453,FALSE
6,pm10,1_hw_2,non_canyon,0.5165,0.0005,0.1566,0.8764,TRUE
6,pm10,1_hw_2,on_viaduct,0.2526,0.5653,-0.1671,0.6723,FALSE
6,pm10,1_hw_2,under_viaduct,0.867,0.2582,-0.2587,1.9927,FALSE
6,pm10,2_hw_4,hw_4,0.3567,0.9095,-0.551,1.2643,FALSE
6,pm10,2_hw_4,non_canyon,0.153,0.9778,-0.3691,0.6751,FALSE
6,pm10,2_hw_4,on_viaduct,-0.1109,0.9974,-0.6759,0.4541,FALSE
6,pm10,2_hw_4,under_viaduct,0.5035,0.8743,-0.684,1.691,FALSE
6,pm10,hw_4,non_canyon,-0.2037,0.9858,-0.9621,0.5548,FALSE
6,pm10,hw_4,on_viaduct,-0.4676,0.5833,-1.2561,0.321,FALSE
6,pm10,hw_4,under_viaduct,0.1468,0.9999,-1.1619,1.4555,FALSE
6,pm10,non_canyon,on_viaduct,-0.2639,0.0531,-0.5297,0.0019,FALSE
6,pm10,non_canyon,under_viaduct,0.3505,0.9626,-0.7273,1.4282,FALSE
6,pm10,on_viaduct,under_viaduct,0.6144,0.6509,-0.4848,1.7135,FALSE
7,pm10,0_hw_1,1_hw_2,0.032,1,-0.3317,0.3957,FALSE
7,pm10,0_hw_1,2_hw_4,0.6081,0.0104,0.0869,1.1293,TRUE
7,pm10,0_hw_1,hw_4,1.1088,0.0003,0.3563,1.8613,TRUE
7,pm10,0_hw_1,non_canyon,0.2477,0.0004,0.0758,0.4195,TRUE
7,pm10,0_hw_1,on_viaduct,-0.0439,0.9992,-0.3176,0.2299,FALSE
7,pm10,0_hw_1,under_viaduct,0.4804,0.8388,-0.586,1.5468,FALSE
7,pm10,1_hw_2,2_hw_4,0.5761,0.0758,-0.0307,1.1829,FALSE
